"Country","Informal_Economy_Indicator","score_global_du_projet","score_du_projet_CBDC_de_detail","score_du_projet_CBDC_de_gros","interet_de_recherche_normalise","Indice_des_discours_des_banquiers_centraux_normalise","interet_de_recherche","indice_de_position_des_banquiers_centraux","Classement_general_de_l_indice","Classement_de_la_valeur_des_services_centralises_recus","Classement_de_la_valeur_des_services_centralises_reçus_dans_le_commerce_de_detail","Classement_du_volume_d_echange_pair_a_pair_P2P","Classement_de_la_valeur_recue_en_DeFi","Classement_de_la_valeur_reçue_en_DeFi_de_detail","Global Innovation Index: Global Innovation Index","Mobile cellular subscriptions (per 100 people)","Trade (% of GDP)","I_E_DGE"
"Ireland",14.4,0,0,0,1.54428761276747,0.533371257577404,14.1691729323308,0.25,25.974025974026,25.4901960784314,18.9542483660131,15.0326797385621,39.2156862745098,39.2156862745098,48.5,113.2768198,234.267352862593,13.2
"Israel",20.2,2,2,0,2.25259518418947,3.2296164129543,18.6691729323308,1,51.9480519480519,50.9803921568627,49.0196078431373,39.2156862745098,64.0522875816993,64.0522875816993,50.2,152.2222464,60.5043555634468,19.2
"Italy",29.8,1,1,0,1.26853880050125,2.37366556997751,12.4172932330827,0.761904761904762,76.6233766233766,78.4313725490196,76.4705882352941,53.5947712418301,82.3529411764706,82.3529411764706,46.1,132.971226,74.7768779022595,26.1
"Jamaica",37.6,3,3,0,0.90284616964177,-0.365377127548227,10.093984962406,0,40.2597402597403,36.6013071895425,33.3333333333333,67.9738562091503,26.797385620915,26.797385620915,27.7,106.2021796,NA,32.4
"Japan",10.4,2,2,2,2.80172586612734,-0.365377127548227,22.1578947368421,0,88.961038961039,86.2745098039216,86.9281045751634,68.6274509803922,88.8888888888889,88.8888888888889,53.6,167.5231573,46.8437321391913,10.2
"Jordan",18.8,1,1,0,-0.685964046956471,-0.365377127548227,0,0,57.7922077922078,65.359477124183,69.9346405228758,56.2091503267974,43.7908496732026,43.7908496732026,27.4,67.56799743,NA,15
"Kazakhstan",38.4,2,2,0,0.993381723883681,-0.365377127548227,10.6691729323308,0,70.7792207792208,73.8562091503268,77.7777777777778,47.7124183006536,74.5098039215686,74.5098039215686,24.7,130.4206754,68.1136261120701,35.5
"Kenya",30.7,1,1,0,0.456677490567254,-0.365377127548227,7.2593984962406,0,87.012987012987,87.5816993464052,78.4313725490196,98.6928104575163,64.7058823529412,64.7058823529412,22.8,121.6735548,33.7295505649916,25.9
"Kuwait",21.8,1,1,0,-0.685964046956471,3.2296164129543,0,1,25.3246753246753,22.8758169934641,20.9150326797386,15.6862745098039,39.8692810457516,39.8692810457516,29.2,180.9950542,NA,14.4
"Kyrgyzstan",37.6,0,0,0,-0.685964046956471,-0.365377127548227,0,0,53.8961038961039,58.8235294117647,65.359477124183,20.9150326797386,73.202614379085,73.202614379085,21.1,NA,NA,33.2
"Laos",28.1,2,2,0,-0.685964046956471,-0.365377127548227,0,0,67.5324675324675,68.6274509803922,74.5098039215686,31.3725490196078,77.7777777777778,77.7777777777778,17.4,NA,NA,20
"Latvia",27.2,0,0,0,-0.685964046956471,-0.365377127548227,0,0,35.7142857142857,49.6732026143791,41.1764705882353,3.92156862745098,58.8235294117647,58.8235294117647,36.5,117.0957679,148.50206436692,25.6
"Lebanon",33.9,0,0,0,-0.685964046956471,-0.365377127548227,0,0,29.8701298701299,34.640522875817,37.9084967320261,46.4052287581699,23.5294117647059,23.5294117647059,25.1,NA,NA,29.4
"Libya",36.2,0,0,0,-0.685964046956471,-0.365377127548227,0,0,23.3766233766234,18.9542483660131,19.6078431372549,30.0653594771242,26.1437908496732,26.1437908496732,NA,204.6286291,NA,NA
"Lithuania",29.3,1,1,0,0.977404861370402,0.533371257577404,10.5676691729323,0.25,43.5064935064935,43.1372549019608,39.2156862745098,21.5686274509804,57.516339869281,57.516339869281,37.4,139.1367809,175.703172248896,27.2
"Luxembourg",10.2,1,0,1,-0.685964046956471,-0.365377127548227,0,0,17.5324675324675,7.18954248366013,5.88235294117647,30.718954248366,25.4901960784314,25.4901960784314,49.8,NA,388.513668433747,9.1
"Macao",NA,1,1,0,-0.685964046956471,-0.365377127548227,0,0,13.6363636363636,12.4183006535948,12.4183006535948,7.18954248366013,16.9934640522876,16.9934640522876,NA,174.5212668,177.932606520685,NA
"Madagascar",44.1,1,1,0,-0.685964046956471,-0.365377127548227,0,0,19.4805194805195,39.8692810457516,38.562091503268,66.0130718954248,10.4575163398693,10.4575163398693,18.6,70.18472487,69.6046719761254,35.7
"Malawi",38,0,0,0,-0.685964046956471,-0.365377127548227,0,0,41.5584415584416,30.0653594771242,23.5294117647059,69.9346405228758,32.6797385620915,32.6797385620915,22.9,60.12725997,NA,39.5
"Malaysia",30.5,2,1,2,1.57564960214538,1.43211964270304,14.3684210526316,0.5,75.974025974026,73.202614379085,67.3202614379085,74.5098039215686,76.4705882352941,76.4705882352941,38.7,141.2923164,146.663786370623,26.8
"Maldives",31,0,0,0,-0.685964046956471,-0.365377127548227,0,0,9.09090909090909,2.61437908496732,3.92156862745098,26.1437908496732,11.7647058823529,11.7647058823529,NA,136.5417622,NA,22.7
"Malta",26,0,0,0,-0.685964046956471,-0.365377127548227,0,0,10.3896103896104,8.49673202614379,7.18954248366013,1.96078431372549,18.3006535947712,18.3006535947712,49.1,131.5920538,317.745013783241,24.5
"Mauritius",22.3,1,1,1,-0.685964046956471,3.2296164129543,0,1,24.6753246753247,10.4575163398693,8.49673202614379,28.7581699346405,60.1307189542484,60.1307189542484,34.4,161.3582163,119.441681771544,19.3
"Mexico",31.5,1,1,0,1.22119994861006,0.533371257577404,12.1165413533835,0.25,90.2597402597403,89.5424836601307,88.8888888888889,81.0457516339869,90.1960784313726,90.1960784313726,31,100.2881985,88.1148719737018,27.2
"Moldova",40.4,0,0,0,-0.685964046956471,-0.365377127548227,0,0,61.6883116883117,66.6666666666667,69.281045751634,50.3267973856209,59.4771241830065,59.4771241830065,31.1,127.4162572,110.733965557959,42.8
"Mongolia",16.6,1,1,0,-0.685964046956471,-0.365377127548227,0,0,44.8051948051948,44.4444444444444,54.9019607843137,52.2875816993464,33.3333333333333,33.3333333333333,28,142.2895592,136.327929944516,15.4
"Morocco",34.3,1,1,0,1.22593383379918,-0.365377127548227,12.1466165413534,0,87.6623376623377,83.0065359477124,84.3137254901961,86.9281045751634,83.6601307189542,83.6601307189542,28.8,NA,101.115882474112,27.8
"Mozambique",37.5,0,0,0,-0.685964046956471,-0.365377127548227,0,0,47.4025974025974,40.5228758169935,43.1372549019608,76.4705882352941,27.4509803921569,27.4509803921569,15,42.07158261,NA,25.9
"Myanmar",49.6,0,0,0,-0.685964046956471,-0.365377127548227,0,0,66.2337662337662,67.9738562091503,66.6666666666667,89.5424836601307,41.1764705882353,41.1764705882353,16.4,106.6964737,NA,22.1
"Namibia",30.4,1,1,1,-0.685964046956471,-0.365377127548227,0,0,9.74025974025974,13.0718954248366,9.15032679738562,23.5294117647059,7.84313725490196,7.84313725490196,20.6,113.1970166,91.7703807243323,24.7
"Nepal",35.1,1,1,1,-0.685964046956471,-0.365377127548227,0,0,64.2857142857143,41.8300653594771,43.7908496732026,87.5816993464052,66.6666666666667,66.6666666666667,17.6,NA,49.3988541870934,31.2
"Netherlands",13.2,1,1,0,0.147791481977205,-0.365377127548227,5.29699248120301,0,75.3246753246753,75.8169934640523,70.5882352941177,55.5555555555556,79.7385620915033,79.7385620915033,58,118.0652669,176.711779992468,12.5
"New Zealand",11.9,1,1,1,1.35434046955404,0.148193378237848,12.9624060150376,0.142857142857143,42.2077922077922,30.718954248366,27.4509803921569,34.640522875817,56.2091503267974,56.2091503267974,47.2,114.6898687,53.8050066910905,11.2
"Nicaragua",43.6,0,0,0,-0.685964046956471,-0.365377127548227,0,0,39.6103896103896,24.1830065359477,28.1045751633987,44.4444444444444,50.3267973856209,50.3267973856209,18.1,NA,115.180119848668,40.3
"Nigeria",56.9,3,3,0,0.29631712978583,-0.365377127548227,6.2406015037594,0,99.3506493506494,98.6928104575163,99.3464052287582,100,98.0392156862745,98.0392156862745,16.9,101.6857635,NA,54.9
"North Macedonia",34.1,0,0,0,-0.685964046956471,-0.365377127548227,0,0,27.2727272727273,27.4509803921569,29.4117647058824,4.57516339869281,42.483660130719,42.483660130719,28.8,97.83329942,170.818251048104,32.7
"Norway",19.3,2,2,1,1.61766283319882,-0.365377127548227,14.6353383458647,0,28.5714285714286,24.8366013071895,24.8366013071895,19.6078431372549,33.9869281045752,33.9869281045752,48.8,110.6788541,82.614071980361,16.5
"Oman",21.1,0,0,0,-0.685964046956471,-0.365377127548227,0,0,11.6883116883117,9.15032679738562,10.4575163398693,2.61437908496732,21.5686274509804,21.5686274509804,26.8,NA,NA,15.5
"Pakistan",34.6,1,1,0,1.34191402093261,-0.365377127548227,12.8834586466165,0,95.4545454545455,96.078431372549,96.078431372549,94.7712418300653,87.5816993464052,87.5816993464052,23,81.74691267,33.0483611133206,31.6
"Panama",60.2,0,0,0,-0.685964046956471,-0.365377127548227,0,0,37.6623376623377,26.797385620915,26.1437908496732,38.562091503268,47.7124183006536,47.7124183006536,25.7,156.3065885,NA,44
"Paraguay",36.5,1,1,0,-0.685964046956471,-0.365377127548227,0,0,38.3116883116883,28.1045751633987,35.9477124183007,40.5228758169935,45.0980392156863,45.0980392156863,22.6,127.7049687,73.8545606915977,33.7
"Peru",59.4,1,1,1,1.63304796006346,-0.365377127548227,14.7330827067669,0,68.8311688311688,77.7777777777778,79.0849673202614,58.1699346405229,54.9019607843137,54.9019607843137,29.1,122.0264016,58.4125708193987,42.6
"Philippines",39.8,2,1,2,1.34368922787853,1.43211964270304,12.8947368421053,0.5,96.7532467532468,96.7320261437908,96.7320261437908,88.2352941176471,96.078431372549,96.078431372549,30.7,144.0428223,72.4166865843622,32
"Poland",25.2,1,1,1,1.12593050917903,-0.365377127548227,11.5112781954887,0,78.5714285714286,81.0457516339869,83.0065359477124,54.2483660130719,84.9673202614379,84.9673202614379,37.5,131.9444373,123.93454594058,22.9
"Portugal",22.3,0,0,0,1.76382153841288,-0.365377127548227,15.5639097744361,0,62.3376623376623,64.7058823529412,57.516339869281,47.0588235294118,72.5490196078431,72.5490196078431,42.1,124.5494123,101.605149369579,22.3
"Qatar",19.8,1,1,0,-0.685964046956471,-0.365377127548227,0,0,11.038961038961,9.80392156862745,11.1111111111111,7.84313725490196,15.6862745098039,15.6862745098039,32.9,174.1281471,99.9807876585942,13.8
"Romania",30.8,0,0,0,0.891011456668971,-0.365377127548227,10.0187969924812,0,61.038961038961,62.7450980392157,62.0915032679739,48.3660130718954,69.281045751634,69.281045751634,34.1,118.1071502,92.8164025706351,25.8
"Russia",43.1,2,2,0,1.1685354758811,-0.365377127548227,11.781954887218,0,92.2077922077922,92.8104575163399,94.1176470588235,77.124183006536,94.7712418300653,94.7712418300653,34.3,NA,43.7741144144238,39.1
"Saudi Arabia",18.8,2,0,2,1.41055535617484,-0.365377127548227,13.3195488721805,0,63.6363636363636,60.7843137254902,66.0130718954248,52.9411764705882,68.6274509803922,68.6274509803922,33.4,132.3800002,63.5136706598149,14.7
"Serbia",NA,0,0,0,1.05018834615311,-0.365377127548227,11.0300751879699,0,57.1428571428571,58.1699346405229,56.8627450980392,42.483660130719,66.0130718954248,66.0130718954248,32.3,NA,138.650728612309,NA
"Seychelles",NA,0,0,0,-0.685964046956471,-0.365377127548227,0,0,7.79220779220779,5.88235294117647,13.0718954248366,13.0718954248366,7.18954248366013,7.18954248366013,NA,191.50843,233.06993882709,NA
"Singapore",12.3,2,2,2,1.94785132513991,1.79161899675329,16.7330827067669,0.6,50.6493506493506,47.0588235294118,34.640522875817,45.7516339869281,62.0915032679739,62.0915032679739,57.3,156.4790531,336.862489041184,10.8
"Slovakia",NA,0,0,0,1.50286611736267,-0.365377127548227,13.906015037594,0,37.012987012987,51.6339869281046,47.7124183006536,25.4901960784314,37.2549019607843,37.2549019607843,NA,NA,NA,NA
